Date,Open,Close,High,Low,Volume
2016-03-28,232.93,237.304,240.917,232.93,48337.0
2016-03-29,237.323,235.907,238.654,232.417,36688.0
2016-03-30,236.753,236.429,238.084,233.406,27782.0
2016-03-31,237.551,235.46,237.989,234.842,19457.0
2016-04-01,236.705,233.035,238.169,232.512,25146.0
2016-04-05,231.048,233.444,235.327,231.048,25047.0
2016-04-06,233.71,244.559,244.93,233.71,48424.0
2016-04-07,244.255,241.611,244.816,240.195,25536.0
2016-04-08,239.605,237.57,243.304,235.992,23156.0
2016-04-11,238.179,231.732,242.629,231.523,119284.0
2016-04-12,231.713,232.873,232.949,230.192,23339.0
2016-04-13,233.33,230.325,236.401,229.812,54274.0
2016-04-14,230.458,230.82,232.788,229.146,28664.0
2016-04-15,230.706,232.854,232.93,229.336,19029.0
2016-04-18,230.858,231.694,233.9,230.572,18593.0
2016-04-19,232.56,231.219,233.13,229.574,14236.0
2016-04-20,231.229,226.712,232.379,224.202,33708.0
2016-04-21,228.671,228.547,230.382,226.579,29672.0
2016-04-22,229.146,235.231,235.688,228.547,35459.0
2016-04-25,234.965,232.493,235.897,231.333,24990.0
2016-04-26,232.902,231.866,234.737,231.048,15156.0
2016-04-27,232.474,232.835,233.406,231.514,13915.0
2016-04-28,233.739,234.319,234.604,231.999,17156.0
2016-04-29,235.222,238.845,240.014,235.222,46079.0
2016-05-03,238.226,247.212,249.38,238.226,56474.0
2016-05-04,247.212,243.608,249.484,243.399,28636.0
2016-05-05,243.884,245.091,245.453,242.933,13517.0
2016-05-06,244.654,239.814,245.804,238.768,27173.0
2016-05-09,237.827,238.483,240.366,236.762,27799.0
2016-05-10,237.228,239.681,241.507,236.857,33505.0
2016-05-11,239.938,244.236,247.668,239.938,49277.0
2016-05-12,241.526,243.37,243.941,239.605,18894.0
2016-05-13,243.389,238.616,246.166,238.179,28145.0
2016-05-16,238.521,239.253,239.415,235.136,22202.0
2016-05-17,238.664,237.732,239.986,237.542,11785.0
2016-05-18,236.829,232.417,239.463,231.143,28380.0
2016-05-19,233.102,233.682,236.277,232.474,20889.0
2016-05-20,234.699,238.902,239.776,232.303,25501.0
2016-05-23,237.437,241.697,242.448,237.437,18706.0
2016-05-24,241.897,239.548,242.657,237.799,11674.0
2016-05-25,241.963,239.472,242.401,238.664,17785.0
2016-05-26,239.596,240.28,241.317,236.943,18120.0
2016-05-27,240.29,240.024,242.163,239.016,13230.0
2016-05-30,239.13,243.532,243.884,237.704,29806.0
2016-05-31,243.408,251.462,253.506,242.648,53949.0
2016-06-01,252.346,250.815,252.441,250.064,21876.0
2016-06-02,250.074,254.571,255.465,250.074,24760.0
2016-06-03,253.867,269.927,272.636,253.297,64798.0
2016-06-06,268.13,262.472,269.08,261.474,37261.0
2016-06-07,262.9,264.184,264.792,261.483,18753.0
2016-06-08,262.805,260.789,264.193,260.048,23882.0
2016-06-13,259.905,253.924,263.052,253.154,37775.0
2016-06-14,254.542,259.335,260.333,254.542,25587.0
2016-06-15,257.395,262.891,264.136,256.919,27322.0
2016-06-16,261.341,260.542,264.136,260.314,19643.0
2016-06-17,260.143,264.574,268.595,260.143,24705.0
2016-06-20,266.009,262.529,266.095,260.523,19019.0
2016-06-21,263.414,260.342,264.269,259.572,16749.0
2016-06-22,260.304,264.745,265.619,259.354,20884.0
2016-06-23,266.199,262.843,266.199,261.36,13984.0
2016-06-24,261.74,260.304,263.376,254.058,20129.0
2016-06-27,261.474,273.53,277.923,261.474,63642.0
2016-06-28,272.903,274.034,275.413,272.237,24282.0
2016-06-29,273.407,274.006,275.213,270.221,28147.0
2016-06-30,275.755,277.562,283.533,275.755,38022.0
2016-07-01,278.96,277.959,283.506,275.852,26014.0
2016-07-04,278.766,285.468,286.925,277.794,29488.0
2016-07-05,286.565,291.956,294.404,286.565,41707.0
2016-07-06,291.198,308.089,308.876,290.431,47347.0
2016-07-07,306.739,307.817,317.424,303.126,50725.0
2016-07-08,304.534,301.018,306.448,297.376,45545.0
2016-07-11,300.164,306.098,314.704,300.164,57481.0
2016-07-12,306.7,315.413,317.229,305.962,53119.0
2016-07-13,313.762,308.089,315.413,306.011,53448.0
2016-07-14,307.021,307.992,311.596,306.157,29230.0
2016-07-15,308.021,308.41,308.905,306.021,26811.0
2016-07-18,308.391,307.138,310.333,306.603,23352.0
2016-07-19,306.448,299.27,307.225,296.783,41431.0
2016-07-20,299.765,299.707,301.951,298.677,17733.0
2016-07-21,301.251,305.36,308.488,300.134,33009.0
2016-07-22,303.923,299.085,306.157,298.561,28871.0
2016-07-25,298.775,302.33,305.175,298.192,23623.0
2016-07-26,300.144,309.886,310.333,299.649,35555.0
2016-07-27,310.673,305.001,311.402,299.454,39228.0
2016-07-28,303.048,306.982,310.139,302.563,39643.0
2016-07-29,306.04,304.165,309.731,304.02,29007.0
2016-08-01,304.02,298.153,304.942,296.249,31701.0
2016-08-02,298.435,297.424,301.591,294.161,26541.0
2016-08-03,298.192,298.017,299.066,295.424,24039.0
2016-08-04,298.046,297.512,299.484,295.492,21793.0
2016-08-05,297.696,297.152,299.522,296.278,20308.0
2016-08-08,297.366,299.26,299.454,294.365,22007.0
2016-08-09,299.328,306.691,308.556,297.628,39289.0
2016-08-10,306.011,304.806,307.419,304.34,20944.0
2016-08-11,305.36,307.681,312.344,305.001,31939.0
2016-08-12,308.293,307.876,308.293,305.001,23352.0
2016-08-15,306.739,309.634,312.46,305.137,34110.0
2016-08-16,312.761,300.639,313.228,299.163,88378.0
2016-08-17,300.717,299.319,302.048,297.706,43754.0
2016-08-18,299.115,297.638,300.766,296.375,31005.0
2016-08-19,297.026,297.687,298.629,296.055,19140.0
2016-08-22,297.347,298.503,300.698,297.22,20812.0
2016-08-23,298.512,298.075,300.173,297.026,19914.0
2016-08-24,298.211,296.521,298.668,295.113,22779.0
2016-08-25,296.443,294.316,296.618,291.461,25362.0
2016-08-26,294.443,292.801,295.812,291.781,21436.0
2016-08-29,299.163,298.707,299.94,296.443,38055.0
2016-08-30,298.192,297.084,299.649,295.929,21170.0
2016-08-31,297.9,301.29,301.844,296.774,40401.0
2016-09-01,300.814,299.853,303.048,299.406,17185.0
2016-09-02,299.163,297.007,300.571,296.133,18572.0
2016-09-05,297.415,299.649,300.134,297.036,19138.0
2016-09-06,299.649,301.047,301.455,299.503,20625.0
2016-09-07,300.795,297.803,300.795,296.735,29645.0
2016-09-08,296.453,297.046,297.706,295.676,16705.0
2016-09-09,297.852,295.89,298.056,295.278,16222.0
2016-09-12,293.335,289.508,295.278,289.227,38238.0
2016-09-13,291.344,291.81,292.335,290.713,16255.0
2016-09-14,291.49,290.975,293.53,289.46,18527.0
2016-09-19,291.441,291.519,292.918,291.276,12852.0
2016-09-20,292.15,286.497,292.17,285.565,34892.0
2016-09-21,286.594,285.613,286.915,280.815,39037.0
2016-09-22,285.856,288.459,291.373,285.574,29606.0
2016-09-23,288.498,289.139,290.373,286.925,12671.0
2016-09-26,288.479,280.446,288.488,280.271,37176.0
2016-09-27,280.592,282.816,283.603,280.475,17915.0
2016-09-28,283.418,280.135,283.418,279.31,22360.0
2016-09-29,279.591,282.631,284.593,279.591,23705.0
2016-09-30,281.68,289.363,291.033,281.68,29603.0
2016-10-10,289.945,294.268,295.142,289.945,21103.0
2016-10-11,295.278,300.057,300.134,294.307,41736.0
2016-10-12,299.649,297.046,299.649,296.152,19286.0
2016-10-13,297.998,295.171,298.134,294.802,16143.0
2016-10-14,294.763,296.832,297.22,294.501,12690.0
2016-10-17,296.686,293.772,296.735,292.85,18957.0
2016-10-18,293.821,298.347,299.649,293.335,30389.0
2016-10-19,299.649,297.658,299.892,296.346,14123.0
2016-10-20,298.571,296.715,298.571,296.055,14079.0
2016-10-21,296.327,295.462,296.715,293.908,11483.0
2016-10-24,293.918,298.124,298.192,293.918,26246.0
2016-10-25,298.571,303.961,304.02,298.571,43762.0
2016-10-26,304.02,304.68,309.177,302.708,46813.0
2016-10-27,304.01,307.779,309.09,302.087,32951.0
2016-10-28,308.391,307.953,309.294,304.991,20137.0
2016-10-31,309.847,308.828,313.538,307.711,43596.0
2016-11-01,308.828,307.594,309.847,306.496,19512.0
2016-11-02,307.021,306.137,308.06,304.68,20636.0
2016-11-03,305.962,306.798,307.38,305.137,18690.0
2016-11-04,306.924,305.787,309.119,304.972,20619.0
2016-11-07,305.962,306.283,307.905,304.214,16047.0
2016-11-08,307.419,310.819,312.936,306.623,34193.0
2016-11-09,310.819,307.72,312.732,304.797,30004.0
2016-11-10,309.945,309.974,311.79,308.614,17804.0
2016-11-11,308.866,306.04,309.168,305.768,35902.0
2016-11-14,306.496,302.067,306.807,301.096,39920.0
2016-11-15,301.135,305.001,306.594,301.135,24470.0
2016-11-16,304.806,304.165,306.351,303.048,13399.0
2016-11-17,303.126,302.116,304.02,301.621,18337.0
2016-11-18,302.232,301.106,302.854,300.989,19377.0
2016-11-21,302.096,300.62,302.718,299.522,26083.0
2016-11-22,301.397,300.008,301.543,299.522,26424.0
2016-11-23,302.077,303.971,304.02,300.241,34015.0
2016-11-24,304.214,307.837,307.905,302.485,39078.0
2016-11-25,307.944,307.798,308.876,304.428,22369.0
2016-11-28,308.439,310.333,310.994,307.516,49253.0
2016-11-29,311.499,314.665,320.969,310.246,58830.0
2016-11-30,312.004,309.925,314.024,309.313,26752.0
2016-12-01,310.819,311.81,315.277,309.537,27941.0
2016-12-02,311.79,312.538,313.927,309.847,30628.0
2016-12-05,310.042,306.866,315.229,306.759,42060.0
2016-12-06,307.157,317.055,317.21,307.157,38923.0
2016-12-07,317.735,318.055,319.075,314.675,25271.0
2016-12-08,318.599,328.021,330.245,317.618,54475.0
2016-12-09,327.525,328.069,329.682,324.437,34495.0
2016-12-12,328.011,317.482,330.245,316.355,50332.0
2016-12-13,317.463,323.456,325.388,316.161,41780.0
2016-12-14,323.446,322.737,324.485,319.075,32029.0
2016-12-15,322.921,318.638,323.436,316.239,39202.0
2016-12-16,317.618,318.181,320.415,314.296,25051.0
2016-12-19,316.647,316.608,324.777,316.268,30471.0
2016-12-20,316.686,317.113,317.618,312.577,30831.0
2016-12-21,317.521,319.23,319.842,314.277,24711.0
2016-12-22,318.589,315.87,319.036,315.559,14678.0
2016-12-23,314.267,310.848,315.19,309.974,31095.0
2016-12-26,309.877,315.17,315.666,307.128,26001.0
2016-12-27,315.199,316.802,319.366,314.218,20062.0
2016-12-28,317.608,314.432,318.589,314.053,17878.0
2016-12-29,314.704,317.919,318.463,313.733,21225.0
2016-12-30,317.239,324.563,325.67,317.239,34687.0
