code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,ar
300631,久吾高科,环境保护,江苏,52.75,1.03,1.06,12.85,9.19,2.08,1.8,1.7,0.199,6.57,3.19,20170323.0,3.84,3.64,7.94,67.03,40.81,12.18,8492.0,0.0
2709,天赐材料,化工原料,广东,36.98,5.43,5.46,57.16,26.51,18.91,9.12,1.67,0.5710000000000001,5.62,7.51,20140123.0,14.54,2.66,30.8,516.88,43.84,19.57,24502.0,0.0
2055,得润电子,元器件,深圳,27.84,4.34,4.73,97.51,59.63,12.1,10.81,2.28,0.362,4.31,4.67,20060725.0,5.74,1.21,-6.17,523.68,17.38,5.61,48443.0,0.0
300097,智云股份,电器仪表,辽宁,96.61,2.17,2.89,22.87,11.81,1.04,12.57,4.36,0.09,4.33,3.65,20100728.0,-1.79,-0.62,169.4,137.47,24.78,5.13,23300.0,0.0
2179,中航光电,元器件,河南,41.93,10.65,11.01,161.56,131.58,18.15,28.54,2.59,0.62,8.0,6.31,20071101.0,42.2,3.83,4.64,15.71,33.26,13.78,32630.0,0.0
300023,宝德股份,专用机械,陕西,782.82,1.37,3.16,5.71,3.42,1.4,9.68,3.06,0.008,1.55,8.37,20091030.0,-8.01,-2.53,-74.03,101.81,43.33,10.0,12975.0,0.0
600438,通威股份,饲料,四川,54.1,42.88,42.88,522.76,157.92,269.71,103.69,2.42,0.25,5.14,4.96,20040302.0,68.3,1.59,16.21,-30.35,16.42,5.39,73220.0,0.0
300020,银江股份,软件服务,浙江,34.24,6.27,6.56,65.59,43.81,5.12,16.0,2.44,0.17600000000000002,5.29,2.28,20091030.0,10.17,1.55,0.08,-8.01,25.99,10.6,55022.0,0.0
600066,宇通客车,汽车整车,河南,260.85,22.14,22.14,307.48,215.19,37.91,12.79,0.58,0.028,6.49,2.29,19970508.0,80.6,3.64,-39.17,-90.78,17.6,0.83,62059.0,0.0
300377,赢时胜,软件服务,深圳,83.35,5.79,7.42,30.52,14.22,7.76,15.57,2.1,0.069,3.75,3.05,20140127.0,4.14,0.56,4.36,-36.54,69.0,13.62,52285.0,0.0
