,0
2018-09-06,-0.008570584178898999
2018-09-07,0.006558028616852507
2018-09-10,-0.014215202369200708
2018-09-11,-0.003605047065892153
2018-09-12,-0.006934673366834065
2018-09-13,0.010626454812265651
2018-09-14,0.001502102944121786
2018-09-17,-0.009299070092990691
2018-09-18,0.019075494549858574
2018-09-19,0.013370308012281118
2018-09-20,-0.0005863956215792498
2018-09-21,0.031097203207510082
2018-09-25,-0.009958270106221523
2018-09-26,0.010920586263052146
2018-09-27,-0.004264190277646351
2018-09-28,0.010277883517320285
2018-10-08,-0.04719291635267531
2018-10-09,0.0020761245674740803
2018-10-10,-0.0005919494869769393
2018-10-11,-0.05093780848963514
2018-10-12,0.01841065113376339
2018-10-15,-0.014400980492288773
2018-10-16,-0.006528497409326373
2018-10-17,0.003442161260039933
