,a1,a2,a3,a4,a5,result
49,5909,624,28,3285,2899,0.12027153992784023
50,6941,7044,2626,2848,4598,0.13382638318656995
51,2932,2038,2927,4018,6462,0.15836815832849596
52,3368,1726,2773,1008,96,0.14672081660026004
53,6513,1035,4969,9564,4511,0.28496325703309927
54,8669,9212,1503,1685,9567,0.15836815832849596
55,2659,8354,1143,8026,7698,0.15836815832849596
56,5904,7172,9849,4287,6654,0.14799967941832176
57,9942,1616,1686,184,5589,0.11520264925873794
58,1344,9235,7966,341,6759,0.13382638318656995
59,814,2609,914,39,8962,0.11520264925873801
60,2182,8279,4097,2165,7542,0.15836815832849596
61,9903,1068,7389,5142,8122,0.11520264925873794
62,3329,3295,9681,4593,6597,0.1583681583284961
63,5525,2623,1030,1201,4704,0.1583681583284961
64,6245,2764,2332,860,2851,0.15836815832849596
65,1266,9843,5618,1947,1947,0.1294917268415062
66,4085,6469,6368,3928,4562,0.13382638318656995
67,5361,9736,6203,8059,5156,0.16619065976933334
68,6528,6931,9817,6182,3540,0.11810234378658115
69,7503,4247,5016,6309,7238,0.1583681583284961
70,3180,7470,1337,31,62,0.16832369587909657
71,9242,9380,5978,1648,6551,0.13382638318656995
72,5430,9534,724,2038,1867,0.18479270941653467
73,8010,9660,8114,6713,8317,0.13382638318656995
74,738,2926,1502,9209,9751,0.12027153992784023
75,3520,5205,5178,3937,6649,0.15836815832849596
76,2320,3773,8828,9966,7648,0.1373794553092869
77,4184,6743,5504,9905,2670,0.24414982241651575
78,109,4470,7790,9875,3782,0.24998233557695063
79,383,4847,840,5349,2158,0.18336736742042417
80,2624,6537,3612,6412,9116,0.1583681583284961
81,4408,5365,4076,5242,6782,0.15836815832849596
82,1465,1205,3109,1407,5491,0.11520264925873794
83,3655,4980,1497,2543,9536,0.1583681583284961
84,5661,4816,7253,6646,3710,0.1263111611670054
85,7409,1071,7622,5560,3874,0.1202715399278403
86,7402,9719,958,8492,5065,0.11174583917034087
87,5603,9275,901,6389,2197,0.23142250399516467
88,1738,6075,2147,9183,6162,0.1373794553092869
89,5914,1428,3408,9861,7952,0.1202715399278403
90,5795,85,7596,3176,3650,0.12918407602172152
91,4717,4158,4016,8468,132,0.41408323470629943
92,5099,1721,3626,8221,167,0.43727176292925174
93,2,8443,6007,6763,8296,0.15836815832849596
94,9295,8438,9245,9262,5790,0.13382638318656995
95,3131,6590,118,1070,1131,0.19357057237267228
96,8346,3172,9507,6760,5652,0.15836815832849596
97,5223,7043,9267,665,7613,0.15836815832849596
98,3490,7341,2983,6123,1964,0.20685564301235038
99,4456,7595,1178,7313,1544,0.2922775362888511
100,6995,2130,4229,8713,4882,0.2849632570330993
101,6325,6632,3860,6412,8853,0.15836815832849596
102,4247,2707,1288,7003,4695,0.1373794553092869
103,7194,7387,8909,3252,4218,0.12270861340298482
104,6291,3827,4545,9019,8466,0.1583681583284961
105,7639,2587,7587,9995,1868,0.3251248300851656
106,9317,4422,2512,2527,6351,0.1583681583284961
107,2250,8050,5129,4322,752,0.21154564596929648
108,7872,1404,2530,92,1601,0.14799967941832176
109,6945,9436,8532,6137,5539,0.12270861340298482
110,4132,9362,340,9121,1980,0.2922775362888513
111,2673,8137,8250,5510,1618,0.1294917268415062
112,9925,7879,2154,8500,2591,0.22068394683426404
113,5069,7221,673,8308,6512,0.1373794553092869
114,8205,8894,1250,7552,1854,0.26981783587967373
115,863,4495,5089,3888,4440,0.15836815832849596
116,8995,2294,727,7097,3779,0.20529001068966277
117,5286,323,4530,2896,6693,0.1490343513874224
118,574,948,3149,4889,1435,0.3245398044276568
119,1894,1997,1091,489,7564,0.11520264925873801
120,9232,6202,4890,9086,1021,0.3291337756898447
121,3620,3462,3042,2712,5865,0.1583681583284961
122,8682,746,5942,2154,3858,0.12918407602172152
123,5514,3874,1867,1294,4503,0.15836815832849596
124,8507,2864,7464,6797,8584,0.1583681583284961
125,8760,1302,304,2605,4783,0.1490343513874224
126,2653,8675,3426,9246,4526,0.18336736742042423
127,487,5314,2706,3632,9368,0.1583681583284961
128,2038,5695,6965,8014,2978,0.18336736742042423
129,8985,4507,1080,2766,5186,0.15836815832849596
130,1317,6100,9804,853,807,0.13263041389050845
131,6661,5255,4247,46,5538,0.15836815832849596
132,5483,2588,9580,6238,8871,0.1583681583284961
133,7980,2768,3615,4163,7419,0.1583681583284961
134,373,5705,4122,7446,7959,0.1583681583284961
135,2473,570,4576,3552,6563,0.1490343513874224
136,8674,6214,118,7790,3951,0.11174583917034087
137,1957,375,9824,2805,8966,0.11520264925873801
138,376,3142,267,1587,51,0.2674986951214101
139,5968,704,1748,6744,4778,0.21044251479737147
140,5845,2382,3042,2652,4625,0.1583681583284961
141,6187,9856,7880,6874,8409,0.13382638318656995
142,4882,733,7061,2284,3073,0.12918407602172152
143,5304,8083,5317,4900,1287,0.17810605319579328
144,5146,2791,995,5749,3303,0.1373794553092869
145,8429,6818,3733,443,7160,0.15836815832849596
146,2713,1427,1660,8474,2190,0.3834988484503032
147,1304,8458,6519,2159,6300,0.13382638318656995
148,119,5349,2572,4026,2809,0.13382638318656995
149,7760,4541,7421,559,2046,0.13178554618743804
150,4540,1935,7284,5438,5062,0.1583681583284961
151,6701,9366,8966,7856,180,0.21154564596929648
152,7063,394,2918,9087,4940,0.24598761432318417
153,4930,1842,2734,1382,9889,0.11520264925873801
154,3784,7904,8707,2555,9864,0.15836815832849596
155,8180,5826,5229,4976,1463,0.17810605319579328
156,8528,7176,6130,7328,833,0.1689715550999662
157,9925,8237,1029,4676,5617,0.13382638318656995
158,9344,6874,1560,6532,4395,0.13382638318656995
159,3119,4144,6555,5039,1956,0.11492558802099216
160,3682,4194,8941,649,6996,0.1583681583284961
161,8615,7809,3666,5480,5519,0.13382638318656995
162,3621,7884,4083,9294,8163,0.15836815832849596
163,1440,488,1062,3883,8360,0.0689196889801249
164,560,7266,7378,8657,6410,0.13737945530928686
165,2558,964,1338,9920,5173,0.2849632570330993
166,9265,3166,6299,9496,3758,0.2583991519288942
167,6754,4444,5615,117,4337,0.15836815832849596
168,7432,8331,8055,7727,3096,0.16916394637054544
169,8335,6921,9381,9583,3267,0.1905196109583225
170,204,5597,5371,3682,5174,0.15836815832849596
171,4273,2493,4357,9419,8015,0.12027153992784038
172,5927,4550,3497,9176,3292,0.24998233557695076
173,3706,5145,1424,6631,2784,0.18336736742042417
174,7769,7794,1010,6105,5807,0.13382638318656995
175,5809,7453,1453,8617,3953,0.17251385636850836
176,937,3414,1286,177,5467,0.1583681583284961
177,7208,3405,7344,1269,1387,0.13178554618743804
178,5403,9479,8633,2677,7549,0.13382638318656995
179,5158,9012,6168,2972,7253,0.13382638318656995
180,7851,2871,7959,104,8009,0.1583681583284961
181,7635,6856,1523,5442,2203,0.18094175022157497
182,2506,1075,5089,2745,4072,0.11520264925873801
183,7807,1180,9439,1464,7586,0.11520264925873801
184,4263,9873,9762,3881,129,0.16490339585460448
185,8623,5763,5821,1019,889,0.14672081660026004
186,7996,5662,9749,865,4792,0.14799967941832176
187,8596,3396,979,6890,6912,0.1583681583284961
188,9000,3252,5526,4878,5002,0.15836815832849596
189,5413,1946,3830,4664,8687,0.1490343513874224
190,1532,5559,9735,8439,1941,0.25462813935187123
191,9424,2543,1204,7352,5223,0.1373794553092869
192,912,9454,5840,4901,2668,0.12318816936113525
193,8161,6139,3597,234,4256,0.13382638318656995
194,1305,7509,1462,453,2183,0.1423128370732143
195,2435,182,7601,3014,9647,0.1490343513874224
196,2599,5461,5265,7933,5669,0.1373794553092869
197,2949,6562,2297,6180,1224,0.2795293171779839
198,5102,3015,7380,5085,9572,0.1583681583284961
199,8421,5590,2751,2633,5263,0.15836815832849596
200,6028,1390,7141,2946,2545,0.14799967941832176
201,3624,9610,6548,7426,910,0.21154564596929648
202,6874,5578,1895,4565,7741,0.1583681583284961
203,1586,1267,9042,3940,8956,0.11520264925873794
204,5233,580,97,6821,307,0.3762457533654066
205,7424,7,8835,2101,3639,0.12918407602172152
206,379,7263,5726,7792,5814,0.13382638318656995
207,6141,3565,2665,9706,3497,0.2976499102585559
208,2378,5669,9463,8593,4381,0.1967233528739258
209,5801,1954,8848,2038,8681,0.11520264925873801
210,6210,856,137,3756,1258,0.2976499102585559
211,2347,9528,4745,9562,6299,0.13382638318656995
212,4546,9646,9458,8741,7391,0.13382638318656995
213,1743,1458,5403,3948,2716,0.1373794553092869
214,4919,7744,5490,758,8588,0.15836815832849596
215,5887,9296,2993,8538,8790,0.15836815832849596
216,6282,9231,9857,7119,6010,0.13382638318656995
217,3783,8745,9321,6262,2461,0.1294917268415062
218,865,7354,3735,6170,2753,0.23345760139710942
219,2727,4484,8325,8915,5288,0.1373794553092869
220,1109,7518,3858,9999,8366,0.1373794553092869
221,9182,9964,7827,6795,7340,0.13382638318656995
222,4461,5049,4163,4113,2525,0.1682258205669068
223,3871,9740,5741,5400,3793,0.118102343786581
224,2729,8925,5414,7871,3414,0.23345760139710942
225,1443,804,5655,7469,8390,0.12027153992784023
226,3472,4956,356,8440,1376,0.2922775362888511
227,1868,1875,7118,3599,6509,0.1583681583284961
228,2805,4630,1070,9807,7942,0.1373794553092869
229,4135,693,9617,8308,647,0.4830860822153553
230,5789,4204,1173,6797,2910,0.24998233557695076
231,992,2162,6634,9096,8664,0.1202715399278403
232,7382,3697,125,1942,7073,0.1583681583284961
233,1661,3568,5425,4532,7727,0.1583681583284961
234,1870,8955,7149,6168,1640,0.17810605319579328
235,8609,8392,2546,1463,317,0.16832369587909657
236,2257,6248,5478,3051,7340,0.15836815832849596
237,2122,3311,3435,5292,9952,0.15836815832849596
238,559,9375,4573,4483,3527,0.118102343786581
239,2275,4530,9581,337,6165,0.15836815832849596
240,9503,9533,7567,4758,1635,0.1294917268415062
241,2827,8224,1023,1406,4973,0.13382638318656995
242,8560,9905,4156,8408,1235,0.21279957585200993
243,5623,736,3484,3445,9901,0.0689196889801249
244,5739,177,6335,7738,9554,0.07429863530439068
245,3477,7442,6680,1418,1869,0.1294917268415062
246,9554,1641,9925,9297,2081,0.3039363634614023
247,7883,1781,9272,1211,3072,0.14799967941832176
248,6615,8154,6567,7482,5711,0.13382638318656995
249,7823,9551,638,2405,2847,0.18387198584947362
250,9348,2415,6436,5158,7849,0.1583681583284961
251,2904,4201,899,8126,4957,0.1373794553092869
252,5508,1104,5867,2544,830,0.16064108789298542
253,8799,2404,8507,1225,4477,0.15836815832849596
254,5725,6896,8655,6332,2233,0.12318816936113525
255,4094,9808,9633,5154,7156,0.13382638318656995
256,7622,7397,1678,5888,9602,0.15836815832849596
257,9122,9738,8486,4520,8191,0.13382638318656995
258,7828,362,4233,647,376,0.10667787035083437
259,8164,1846,205,4698,9386,0.1490343513874224
260,2782,8772,6004,9464,5526,0.11174583917034087
261,6532,9050,8652,443,2925,0.12318816936113525
262,3448,2492,805,420,8609,0.11520264925873801
263,1881,912,3910,421,4309,0.11520264925873801
264,54,7000,3952,4052,3428,0.12270861340298482
265,8344,1463,285,1449,1246,0.13382638318657
266,2470,8995,5632,8164,4442,0.23345760139710944
267,4580,3859,7815,3798,9668,0.1583681583284961
268,7167,8312,887,9924,8342,0.15836815832849596
269,278,2896,7760,2023,8994,0.1583681583284961
270,5484,1436,1789,6525,9947,0.1490343513874224
271,7348,7316,2054,8758,9967,0.15836815832849596
272,616,3337,1975,8556,5571,0.1373794553092869
273,7934,4732,5596,1199,5023,0.15836815832849596
274,8126,136,8155,9738,234,0.47137224625425933
275,7735,325,8592,4378,8096,0.11520264925873801
276,1131,286,6436,4257,2506,0.22476058759053177
277,9222,8253,2062,5337,9140,0.15836815832849596
278,5860,7156,5812,5321,5673,0.13382638318656995
279,73,4205,182,4558,5490,0.15836815832849596
280,5051,1501,4074,449,6916,0.11520264925873794
281,6813,8417,890,6792,8061,0.15836815832849596
282,7164,4987,9922,9787,6832,0.1373794553092869
283,3611,8068,1369,3227,7185,0.15836815832849596
284,2861,7483,5375,7076,6615,0.13382638318656995
285,1012,1958,6611,5833,4263,0.1373794553092869
286,9214,6823,8444,272,851,0.14672081660025993
287,3343,4939,580,1911,1838,0.18387198584947362
288,2870,9889,2245,84,6646,0.13382638318656995
289,3816,9618,3879,6878,3355,0.16822582056690674
290,3056,2426,7772,999,3282,0.14799967941832176
291,5903,349,5645,217,5070,0.11520264925873801
292,8653,3409,8994,8140,9342,0.1583681583284961
293,2387,6518,1243,576,6208,0.15836815832849596
294,7162,1721,7745,7604,4664,0.1202715399278403
295,7302,8082,9781,734,9305,0.15836815832849596
296,9632,4184,7675,7001,6275,0.15836815832849596
297,574,2281,8978,4945,2176,0.1967233528739258
298,9159,1865,3143,8836,675,0.365643651184063
299,6998,9874,9184,5234,8924,0.13382638318657
300,9302,3678,2052,5861,7434,0.1583681583284961
301,7051,2981,8075,7272,7121,0.1583681583284961
302,216,8782,2533,7512,4484,0.19144200499304892
303,3427,3417,1240,7404,8482,0.1583681583284961
304,1587,77,1929,7505,5597,0.24598761432318417
305,8583,9831,6249,8020,7412,0.13382638318656995
306,3503,756,805,2306,983,0.2052900106896628
307,9023,6839,1534,1079,4097,0.13382638318656995
308,7050,1455,8038,1011,9593,0.11520264925873801
309,227,1948,4884,4757,6388,0.1583681583284961
310,2609,5727,7576,4082,6015,0.15836815832849596
311,7924,8505,8954,2828,315,0.14672081660026004
312,969,6912,6924,4095,9853,0.1583681583284961
313,4255,2077,3033,8721,4590,0.2849632570330993
314,8434,5815,5944,3563,3837,0.13382638318656995
315,3192,2391,3114,4388,1490,0.24998233557695063
316,2980,1559,3253,5144,1478,0.2976499102585559
317,8053,6174,2557,9327,8055,0.15836815832849596
318,2365,9314,1896,1928,9193,0.15836815832849596
319,3844,1071,2158,9835,26,0.4413070549523621
320,2195,4580,7197,8401,2444,0.2941758092252983
321,2771,1110,6975,2083,1376,0.13597888344869663
322,7965,2691,9822,6733,9116,0.1583681583284961
323,4658,882,8560,7601,6335,0.1202715399278403
324,2734,8288,7091,4652,6578,0.13382638318656995
325,689,963,4101,7191,9601,0.1490343513874224
326,4294,2581,3224,5733,9030,0.14903435138742246
327,3820,6374,1104,355,9316,0.1583681583284961
328,9999,3451,958,4087,3692,0.15836815832849596
329,6794,5290,3447,3342,7113,0.15836815832849596
330,3013,680,9337,6187,8511,0.1490343513874224
331,6222,6282,5724,1094,1976,0.12318816936113525
332,5029,189,7575,9554,9431,0.12027153992784023
333,5951,8193,7264,3341,3639,0.11810234378658115
334,8550,1219,4173,2620,9506,0.11520264925873801
335,9514,4705,9490,6372,8173,0.1583681583284961
336,6857,7627,4681,4860,8627,0.15836815832849596
337,6503,3013,4632,9616,768,0.43727176292925185
338,4638,4175,4409,4199,6553,0.1583681583284961
339,4633,5137,5316,4743,2283,0.11810234378658115
340,5285,6623,3159,7328,2754,0.18336736742042417
341,1554,9679,1859,4454,5567,0.13382638318656995
342,7801,9396,3371,1598,7104,0.13382638318656995
343,7467,340,8404,5823,5607,0.1202715399278403
344,1074,270,157,4572,8603,0.0261004348113588
345,4967,8006,7887,1502,1418,0.1294917268415062
346,4671,2741,6481,3589,4991,0.1583681583284961
347,716,9820,5691,2000,1821,0.1294917268415062
348,3142,9797,5817,8379,9661,0.15836815832849596
349,6143,1780,9381,1768,886,0.17407072533488657
350,5108,7336,2624,7873,891,0.3291337756898447
351,3363,1662,2375,5102,5024,0.1202715399278403
352,8325,6573,7434,211,8771,0.15836815832849596
353,498,6616,4012,3012,1144,0.17810605319579328
354,82,4389,2378,3375,226,0.24362568031142048
355,5559,6539,3546,6545,7358,0.15836815832849596
356,6954,5549,9162,1183,9388,0.1583681583284961
357,5378,2689,3187,9592,8801,0.1202715399278403
358,2865,919,177,5189,6254,0.07429863530439068
359,5532,9476,6590,2829,6363,0.13382638318656995
360,4213,4328,4049,6134,5445,0.15836815832849596
361,1475,358,2209,7571,647,0.4413070549523621
362,4363,4374,820,7538,2234,0.29417580922529835
363,1837,7632,8080,6035,7494,0.15836815832849596
364,1104,6056,1672,9392,2984,0.2941758092252983
365,3767,6128,4038,7338,7187,0.15836815832849596
366,349,9035,6454,8536,8128,0.13382638318657
367,5258,2550,1270,5443,6864,0.15836815832849596
368,1670,2942,6928,4782,8528,0.1583681583284961
369,8880,4405,9605,242,2523,0.13178554618743804
370,6948,4530,7029,3706,917,0.1294917268415062
371,4165,5969,5116,3970,4625,0.13382638318656995
372,8047,9212,1016,1940,6029,0.13382638318656995
373,7757,7245,9873,5234,7791,0.15836815832849596
374,7762,5675,3463,5146,2254,0.16822582056690674
375,9281,4852,4707,2808,170,0.14672081660026004
376,2070,3026,1172,1383,3151,0.15836815832849596
377,3629,2972,7964,1225,5600,0.1583681583284961
378,2496,473,8413,6390,7507,0.12027153992784023
379,3518,4646,1971,8574,6393,0.1373794553092869
380,3796,5079,452,6843,8237,0.1583681583284961
381,8737,879,5023,3336,7518,0.11520264925873801
382,3366,2999,2013,8447,7657,0.1202715399278403
383,1433,6152,3172,4139,287,0.21154564596929648
384,5113,7582,8760,3811,5059,0.12270861340298482
385,1006,6531,6851,473,8807,0.1583681583284961
386,5159,2677,8561,3596,5096,0.1583681583284961
387,3811,877,4170,8160,5313,0.21044251479737147
388,6567,789,1798,3910,8808,0.0689196889801249
389,949,2797,5774,7988,2441,0.2976499102585559
390,3910,6668,3711,592,6922,0.15836815832849596
391,7395,6762,2434,4258,568,0.19463868117829
392,829,5982,1690,7833,136,0.3291337756898447
393,3863,4233,3856,4640,9647,0.1583681583284961
394,4999,1691,694,5134,1554,0.297649910258556
395,3326,2866,831,2491,7811,0.15836815832849596
396,9688,376,4512,881,1077,0.10213356785742933
397,2239,5306,1986,5638,242,0.3291337756898447
398,3540,5293,7748,8950,8189,0.1583681583284961
399,5661,7107,7101,251,6081,0.13382638318656995
400,8036,6922,9212,4757,5230,0.14799967941832176
401,3084,665,5517,8722,1773,0.4441306809072631
402,9008,9995,2022,7271,2717,0.23142250399516467
403,9025,3625,3438,514,2530,0.13382638318656995
404,2846,5973,3361,1256,7925,0.1583681583284961
405,5347,1959,5448,8907,7766,0.1202715399278403
406,7347,5949,475,8840,3446,0.24998233557695076
407,5801,4111,4802,3502,9086,0.1583681583284961
408,6832,6630,9895,3079,1402,0.1294917268415062
409,315,6877,157,9387,4768,0.24998233557695076
410,3991,282,367,2551,4411,0.0689196889801249
411,8348,4827,4275,916,3907,0.13382638318656995
412,5122,420,3624,3648,7264,0.0689196889801249
413,4554,8293,5198,4525,1631,0.17810605319579328
414,6142,9312,3596,2510,3606,0.118102343786581
415,4225,3119,2318,5497,9324,0.15836815832849596
416,2743,2292,600,6467,7827,0.12027153992784023
417,2714,2831,1510,7591,8949,0.1202715399278403
418,1842,9427,8127,8382,8957,0.15836815832849596
419,752,3709,2511,4919,2975,0.13737945530928686
420,268,9793,144,6141,5646,0.13382638318656995
421,3998,8682,3069,54,4193,0.13382638318656995
422,8545,5891,6590,430,6955,0.15836815832849596
423,428,3839,4110,2091,6496,0.1583681583284961
424,5628,8673,3872,4937,1347,0.17810605319579328
425,4947,709,2535,4924,9152,0.0689196889801249
426,403,2628,235,8393,2463,0.25467390693795877
427,7159,7064,397,4155,6151,0.13382638318657
428,511,4861,8809,2650,4381,0.14799967941832176
429,3101,1565,8908,5348,5994,0.12918407602172152
430,374,5242,1560,3408,3898,0.13382638318656995
431,1286,3415,6164,4297,4017,0.15836815832849596
432,2074,6776,7554,7917,9685,0.1583681583284961
433,4203,1790,5948,7063,4523,0.1202715399278403
434,4632,3042,986,2729,8120,0.15836815832849596
435,1287,1532,1423,7979,7092,0.1202715399278403
436,1881,1909,9117,3512,1461,0.16064108789298542
437,8829,9426,5600,9606,5404,0.11174583917034087
438,9738,7937,1204,6597,8226,0.15836815832849596
439,4533,1670,6500,10,8508,0.11520264925873794
440,5973,1084,7010,5285,7986,0.1490343513874224
441,2422,1425,9751,2154,2112,0.13597888344869663
442,9055,2750,8423,6699,7376,0.1583681583284961
443,7763,1890,4744,905,7201,0.11520264925873801
444,960,849,3231,6796,2250,0.33339180270783336
445,8726,5857,8574,7372,1666,0.1244803608909065
446,4328,9940,8137,5366,7999,0.13382638318656995
447,2896,2210,4295,2374,1219,0.13178554618743804
448,6204,6764,5630,8158,9268,0.15836815832849596
449,4721,8500,3312,9074,690,0.3291337756898447
450,7203,3737,9141,5956,4794,0.14799967941832176
451,6819,86,6050,4606,5480,0.12027153992784023
452,1077,3100,7194,7159,7330,0.1583681583284961
453,8696,5169,5179,8096,252,0.3291337756898447
454,4848,4215,9232,2478,8476,0.1583681583284961
455,8618,9346,8867,2112,9317,0.15836815832849596
456,8185,705,8350,2193,5439,0.11520264925873801
457,8492,9480,2885,4140,6553,0.13382638318656995
458,7464,1796,4684,8221,9969,0.12027153992784023
459,333,7639,2128,9038,4050,0.18336736742042423
460,9805,4980,8320,5877,513,0.11979283373129504
461,676,5349,3686,5285,1105,0.24133081893720437
462,6708,1818,4685,9907,2896,0.3834988484503032
463,505,2793,5698,8909,8145,0.1202715399278403
464,9541,7654,7420,9724,3,0.2932326412717726
465,6099,106,7788,6637,1684,0.3237527599113939
466,3522,680,8686,7121,6668,0.1202715399278403
467,9992,6919,7528,3916,9575,0.1583681583284961
468,6636,4281,2040,7481,2946,0.24998233557695076
469,3485,1361,1207,7543,508,0.47137224625425933
470,405,7275,1159,6541,4197,0.13382638318656995
471,7444,5915,7825,3779,6064,0.15836815832849596
472,1589,8804,1457,7370,9881,0.15836815832849596
473,6741,5199,8230,7620,9976,0.1583681583284961
474,5696,8611,4981,1519,4520,0.13382638318656995
475,4475,3981,5463,5013,9391,0.1583681583284961
476,9638,3764,1146,1172,9236,0.15836815832849596
477,2025,8518,7052,4186,6549,0.13382638318656995
478,3739,44,7324,6384,8579,0.1490343513874224
479,9196,2646,4832,8889,336,0.365643651184063
480,2251,2821,3930,2781,1073,0.12318816936113525
481,771,7610,7066,9117,7494,0.15836815832849596
482,991,9476,5964,4399,5673,0.13382638318656995
483,9699,6703,4243,9703,1687,0.2922775362888511
484,872,5268,8949,4410,8349,0.1583681583284961
485,2419,1587,2959,5082,2216,0.2583991519288942
486,3049,3577,9408,6630,2628,0.1967233528739258
487,1556,9107,8232,5998,1825,0.1294917268415062
488,8733,2404,3737,9172,5491,0.1807817221104666
489,6924,6724,9215,4380,2179,0.1294917268415062
490,9722,5752,7825,6143,1593,0.1294917268415062
491,9163,6758,5609,1317,490,0.14672081660026004
492,5058,5557,6552,1163,7047,0.15836815832849596
493,1594,4889,3187,1561,9792,0.1583681583284961
494,5896,1939,5203,3259,4195,0.1583681583284961
495,4793,2518,9525,1005,3469,0.14799967941832176
496,9104,6794,5839,3311,5420,0.13382638318656995
497,7113,4418,4988,6396,2733,0.17251385636850836
498,9976,7478,72,7015,5108,0.13382638318656995
499,5727,7332,1074,6839,2627,0.20685564301235046
500,8393,5024,8156,2892,1265,0.1294917268415062
501,3590,6316,3347,5917,3404,0.11174583917034087
502,1541,7818,2201,954,6625,0.13382638318657
503,7562,6760,1357,1661,4596,0.13382638318656995
504,2631,3927,5306,5118,1128,0.25462813935187123
505,4120,2432,5180,3411,1543,0.12991845840761782
506,6391,8279,7561,6453,4441,0.12270861340298482
507,7873,5737,1733,7995,2783,0.17251385636850836
508,5123,7925,7338,7682,4052,0.1682258205669068
509,9042,7954,1442,9423,5252,0.11174583917034087
510,899,2753,7720,2836,4375,0.15836815832849596
511,1487,8886,9591,8384,641,0.24362568031142054
512,2610,2194,7509,9339,9306,0.1202715399278403
513,7861,9110,8561,8001,1602,0.17810605319579328
514,4225,6895,3180,3269,1488,0.17810605319579317
515,6221,1466,3559,5680,2592,0.20529001068966277
516,5130,6061,1389,828,6084,0.15836815832849596
517,1790,2050,5250,1787,9221,0.11520264925873794
518,1261,2526,3470,4046,7216,0.15836815832849596
519,2461,6947,6342,5909,8169,0.15836815832849596
520,2517,6129,957,3948,508,0.2674986951214101
521,1064,6588,9995,5699,3942,0.11810234378658115
522,1534,6457,9450,8711,294,0.2578267864748543
523,9549,3414,2157,8973,5724,0.1373794553092869
524,981,7055,2755,2560,4477,0.13382638318656995
525,7135,8276,5995,7109,7749,0.15836815832849596
526,4796,1509,1345,2132,2122,0.15836815832849596
527,5734,425,1190,7369,9723,0.07429863530439068
528,2531,9231,5428,4716,6819,0.13382638318656995
529,6483,4399,3577,6186,1880,0.2441498224165158
530,4391,2815,3900,2875,374,0.17371765832600283
531,8822,3345,9072,9834,2941,0.2976499102585559
532,9413,7679,7823,2309,4014,0.11810234378658115
533,6485,4230,1537,3021,3137,0.13382638318656995
534,5755,7623,40,6373,9241,0.15836815832849596
535,4806,8642,1504,7204,4773,0.13382638318656995
536,2553,2098,8832,9759,3349,0.2976499102585559
537,5835,9088,8843,693,5783,0.12270861340298482
538,4690,5127,8435,9949,8698,0.1583681583284961
539,2728,4487,5458,6016,1862,0.1905196109583225
540,5080,2403,5800,400,5265,0.1583681583284961
541,9048,2354,10000,3160,6630,0.1583681583284961
542,3371,7426,4468,3056,5516,0.13382638318656995
543,8529,4310,9114,4344,9104,0.1583681583284961
544,6247,4521,6560,8569,3090,0.24998233557695076
545,1522,2289,5883,1127,1046,0.13178554618743804
546,3886,2499,1123,1474,7584,0.15836815832849596
