nohup: ignoring input
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/pandas_datareader/compat/__init__.py:7: FutureWarning: pandas.util.testing is deprecated. Use the functions in the public API at pandas.testing instead.
  from pandas.util.testing import assert_frame_equal
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/sklearn/externals/joblib/__init__.py:15: FutureWarning: sklearn.externals.joblib is deprecated in 0.21 and will be removed in 0.23. Please import this functionality directly from joblib, which can be installed with: pip install joblib. If this warning is raised when loading pickled models, you may need to re-serialize those models with scikit-learn 0.21+.
  warnings.warn(msg, category=FutureWarning)
第1次尝试:a1 = 4509, a2 = 2611, a3 = 840, a4 = 8327, a5 = 4854, 年化收益率: 0.20529001068966277
第82次尝试:a1 = 4408, a2 = 5365, a3 = 4076, a4 = 5242, a5 = 6782, 年化收益率: 0.15836815832849596

第83次尝试:a1 = 1465, a2 = 1205, a3 = 3109, a4 = 1407, a5 = 5491, 年化收益率: 0.11520264925873794

第84次尝试:a1 = 3655, a2 = 4980, a3 = 1497, a4 = 2543, a5 = 9536, 年化收益率: 0.1583681583284961

第85次尝试:a1 = 5661, a2 = 4816, a3 = 7253, a4 = 6646, a5 = 3710, 年化收益率: 0.1263111611670054

第86次尝试:a1 = 7409, a2 = 1071, a3 = 7622, a4 = 5560, a5 = 3874, 年化收益率: 0.1202715399278403

第87次尝试:a1 = 7402, a2 = 9719, a3 = 958, a4 = 8492, a5 = 5065, 年化收益率: 0.11174583917034087

第88次尝试:a1 = 5603, a2 = 9275, a3 = 901, a4 = 6389, a5 = 2197, 年化收益率: 0.23142250399516467

第89次尝试:a1 = 1738, a2 = 6075, a3 = 2147, a4 = 9183, a5 = 6162, 年化收益率: 0.1373794553092869

第90次尝试:a1 = 5914, a2 = 1428, a3 = 3408, a4 = 9861, a5 = 7952, 年化收益率: 0.1202715399278403

第91次尝试:a1 = 5795, a2 = 85, a3 = 7596, a4 = 3176, a5 = 3650, 年化收益率: 0.12918407602172152

第92次尝试:a1 = 4717, a2 = 4158, a3 = 4016, a4 = 8468, a5 = 132, 年化收益率: 0.41408323470629943

第93次尝试:a1 = 5099, a2 = 1721, a3 = 3626, a4 = 8221, a5 = 167, 年化收益率: 0.43727176292925174

第94次尝试:a1 = 2, a2 = 8443, a3 = 6007, a4 = 6763, a5 = 8296, 年化收益率: 0.15836815832849596

第95次尝试:a1 = 9295, a2 = 8438, a3 = 9245, a4 = 9262, a5 = 5790, 年化收益率: 0.13382638318656995

第96次尝试:a1 = 3131, a2 = 6590, a3 = 118, a4 = 1070, a5 = 1131, 年化收益率: 0.19357057237267228

第97次尝试:a1 = 8346, a2 = 3172, a3 = 9507, a4 = 6760, a5 = 5652, 年化收益率: 0.15836815832849596

第98次尝试:a1 = 5223, a2 = 7043, a3 = 9267, a4 = 665, a5 = 7613, 年化收益率: 0.15836815832849596

