"","X600000","X600016","X600018","X600028","X600048"
"2009-12-23",0.002499,-0.004127,0.003697,0.008475,0.005576
"2009-12-24",0.031406,0.029006,0.018416,0.019862,0.020333
"2009-12-25",-0.016433,0.002685,-0.01085,-0.002996,-0.000906
"2009-12-28",0.020639,0.012048,0.016453,0.01728,0.00544
"2009-12-29",0.007703,0.013228,0.043165,0.012555,-0.020289
"2009-12-30",0.033445,0.030026,0,0.031364,0.025311
"2009-12-31",0.002774,0.002535,0,-0.003536,0.005386
"2010-01-04",-0.023052,0.002528,-0.001724,-0.019163,-0.022321
"2010-01-05",0.007551,0.017654,0.001727,0.005789,-0.03105
"2010-01-06",-0.019672,-0.019827,-0.010345,-0.021583,-0.000943
"2010-01-07",-0.022456,-0.026549,-0.027875,-0.026471,0.000472
"2010-01-08",0.011241,0.01039,0.003584,-0.010574,0.013201
"2010-01-11",0,0.011568,0.007143,-0.005344,-0.022801
"2010-01-12",0.005317,0.005083,0.049645,0.022256,0.014762
"2010-01-13",-0.046635,-0.044248,-0.027027,-0.035285,-0.041295
"2010-01-14",0.00706,0.001323,0.03125,0.007004,0.007832
"2010-01-15",0.003505,0,0,0.008501,0.018941
"2010-01-18",0.00998,0.002642,0.008418,-0.009195,0.017636
"2010-01-19",0.005435,0.01581,-0.011686,0.010054,-0.003279
"2010-01-20",-0.027518,-0.027237,0.015203,-0.046708,-0.036184
"2010-01-21",0.034361,0.017333,-0.004992,-0.009639,0.003413
"2010-01-22",0.021006,0.019659,-0.026756,-0.010543,-0.028669
"2010-01-25",-0.021053,-0.01928,-0.013746,-0.004918,-0.003002
"2010-01-26",0.011241,-0.010485,-0.033101,-0.040362,-0.048169
"2010-01-27",-0.040116,-0.030464,-0.003604,-0.013734,0
"2010-01-28",-0.008056,-0.009563,0.005425,0.001741,0.011597
"2010-01-29",-0.004061,-0.002759,-0.010791,-0.007819,-0.006774
"2010-02-01",-0.020387,-0.016598,-0.025455,-0.024518,0.022036
"2010-02-02",0.001041,0.001406,0,-0.004488,-0.005647
"2010-02-03",0.033784,0.023876,0.027985,0.022543,0.026846
"2010-02-04",-0.011564,-0.005487,-0.001815,-0.013228,-0.001508
"2010-02-05",-0.012208,-0.016552,-0.016364,-0.023235,-0.039778
"2010-02-08",-0.010299,-0.004208,-0.003697,-0.010064,-0.022549
"2010-02-09",0.010406,0.011268,0.012987,0.004621,0
"2010-02-10",0.013388,0.006964,0,0.014719,0.021996
"2010-02-11",-0.002033,0,-0.003663,0.004533,0.015748
"2010-02-12",0.008656,0.006916,0.007353,0.015343,0.006202
"2010-02-22",-0.006562,-0.006868,0.00365,-0.010667,-0.016949
"2010-02-23",-0.009654,-0.009682,0.009091,-0.013477,-0.007837
"2010-02-24",0.008722,0.013966,0.007207,0.015483,0.019484
"2010-02-25",0.054934,0.013774,0.003578,0.013453,0.030992
"2010-02-26",NA,-0.004076,-0.008913,-0.000885,-0.002505
"2010-03-01",NA,0.012278,0.001799,0.009743,-0.004018
"2010-03-02",NA,0.002695,-0.001795,-0.010526,NA
"2010-03-03",NA,0.001344,0.010791,0.003546,-0.008573
"2010-03-04",NA,-0.025503,0.005338,-0.023852,-0.024415
"2010-03-05",NA,-0.001377,0.033628,-0.000905,-0.003128
"2010-03-08",NA,0.008276,-0.008562,0.006341,0.016213
"2010-03-09",NA,0.016416,-0.010363,0.005401,0.043747
"2010-03-10",NA,-0.009421,-0.017452,0.008057,-0.018245
"2010-03-11",0.027001,0.013587,-0.001776,0.020426,-0.007032
"2010-03-12",-0.012207,-0.009383,-0.019573,-0.015666,-0.016186
"2010-03-15",-0.01711,-0.018945,-0.001815,-0.015031,0.00874
"2010-03-16",0.024662,0.011034,0.005455,0.016158,0.013252
"2010-03-17",0.022652,0.016371,0.018083,0.013251,0.026157
"2010-03-18",0.001384,-0.004027,-0.001776,-0.000872,0.013725
"2010-03-19",0.004608,0.004043,0.003559,0.013089,0.009188
"2010-03-22",0.018807,0.013423,0,0.000861,-0.012937
"2010-03-23",-0.009455,-0.015894,-0.014184,-0.002582,-0.019417
"2010-03-24",0.001364,0.001346,-0.003597,-0.001726,-0.000495
"2010-03-25",-0.019065,-0.014785,-0.012635,-0.007779,-0.018821
"2010-03-26",0.030079,0.020464,0.018282,0.027003,0.019687
"2010-03-29",0.032345,0.03877,0.012567,0.017812,0.031188
"2010-03-30",NA,0.003861,0,-0.004167,-0.00048
"2010-03-31",-0.008703,-0.014103,-0.008865,-0.01841,-0.006244
"2010-04-01",0.003073,0.007802,0.003578,0.01023,0.030933
"2010-04-02",0.002626,0.00129,0.00713,0.012658,0.005157
"2010-04-06",0.003492,0.002577,0,-0.0125,-0.035914
"2010-04-07",-0.009134,-0.012853,-0.00531,-0.010127,-0.025157
"2010-04-08",-0.00878,-0.015625,-0.012456,-0.02046,-0.030769
"2010-04-09",0.015943,0.003968,0.007207,0.007833,0.003584
"2010-04-12",-0.022232,-0.017128,-0.010733,-0.021589,-0.042857
"2010-04-13",0.02675,0.029491,0.01085,0.022948,0.010128
"2010-04-14",-0.006513,0.001302,-0.005367,-0.004314,-0.008443
"2010-04-15",-0.004808,0.002601,-0.007194,0.015598,-0.013305
"2010-04-16",-0.031181,-0.023346,0,-0.019625,0.005933
"2010-04-19",-0.067996,-0.059761,-0.04529,-0.052219,-0.092761
"2010-04-20",-0.000973,0.001412,-0.009488,-0.02112,NA
"2010-04-21",0.015579,0.008463,0.01341,0.007505,0.004137
"2010-04-22",-0.032119,-0.026573,-0.017013,-0.020484,-0.013537
"2010-04-23",0.009906,-0.005747,-0.005769,-0.018061,0.005967
"2010-04-26",0.003433,-0.008671,-0.005803,-0.008712,-0.004152
"2010-04-27",-0.017107,-0.017493,-0.019455,-0.024414,-0.011495
"2010-04-28",NA,-0.002967,-0.013889,0.004004,-0.018913
"2010-04-29",0.003978,0.019345,0.002012,-0.006979,-0.004819
"2010-04-30",0.019812,0.024818,0.014056,0.012048,-0.003228
"2010-05-04",-0.019427,-0.017094,-0.007921,-0.011905,-0.075304
"2010-05-05",0.005944,0.017391,0.005988,-0.008032,0.000876
"2010-05-06",-0.062531,-0.04416,-0.037698,-0.055668,-0.067367
"2010-05-07",-0.025735,-0.008942,-0.030928,-0.034298,-0.00469
"2010-05-10",0.023181,0.025564,NA,0.009989,0.032045
"2010-05-11",-0.012118,-0.02346,-0.010638,-0.015385,-0.026484
"2010-05-12",0.023467,0.024024,-0.002151,0.006696,0.035647
"2010-05-13",0.027097,0.007331,0.015086,0.031042,0.004529
"2010-05-14",-0.015728,-0.008734,-0.006369,-0.010753,-0.017133
"2010-05-17",-0.038144,-0.029369,-0.055556,-0.045652,-0.073394
"2010-05-18",0.036977,0.022693,0.004525,NA,0.079208
"2010-05-19",-0.004651,-0.005917,-0.002252,0.009112,-0.017431
"2010-05-20",-0.018172,-0.008929,-0.009029,-0.011287,-0.016807
"2010-05-21",0.016922,0.004505,-0.013667,0.003425,0.059829
"2010-05-24",0.026521,0.025411,0.039261,0.031854,0.08871
"2010-05-25",-0.030395,-0.03207,0.008889,-0.027563,-0.040329
"2010-05-26",-0.001567,0,-0.011013,-0.001134,0.003431
"2010-05-27",0.010466,0.012048,0.006682,0.007946,0.002564
"2010-05-28",-0.009322,-0.005952,-0.004425,-0.002252,-0.024723
"2010-05-31",-0.030842,-0.020958,-0.022222,-0.027088,-0.034091
"2010-06-01",-0.006472,-0.015291,0.002273,-0.012761,-0.029864
"2010-06-02",-0.001086,-0.003106,-0.002268,-0.003525,0.029851
"2010-06-03",-0.01087,-0.014019,-0.013636,-0.010613,-0.028986
"2010-06-04",-0.001648,-0.012638,-0.002304,0.001192,0.017724
"2010-06-07",-0.029169,-0.0288,-0.025404,-0.02381,-0.025665
"2010-06-08",-0.013605,-0.001647,-0.016588,-0.004878,0.001881
"2010-06-09",0.063218,0.047855,0.016867,0.028186,0.061033
"2010-06-10",-0.02919,-0.029921,-0.00237,-0.014303,-0.022124
"2010-06-11",0.008759,0.00487,0.004751,0.008464,0.011765
"2010-06-17",0.002171,0.001616,0,0.002398,0.009839
"2010-06-18",0.00361,NA,-0.028369,-0.002424,-0.0062
"2010-06-21",0.041727,0.030645,0.026764,0.024301,0.051693
"2010-06-22",0.000691,0,0.004739,0.008304,0.002542
"2010-06-23",-0.016563,-0.01252,-0.018868,-0.009412,-0.015216
"2010-06-24",0.006316,0.00317,0.002404,-0.005938,-0.00515
"2010-06-25",0.004184,0.004739,0.01199,-0.002389,-0.012942
"2010-06-28",0.002083,-0.001572,-0.007109,-0.013174,0
"2010-06-29",-0.046431,-0.044094,-0.033413,-0.026699,-0.070804
"2010-06-30",-0.011628,-0.003295,-0.059259,-0.024938,-0.037629
"2010-07-01",-0.007353,-0.003306,0.018373,-0.001279,-0.010753
"2010-07-02",0.012593,0.008292,0.006185,0.002561,0.038538
"2010-07-05",-0.010241,-0.004934,-0.023622,-0.007663,0.026641
"2010-07-06",0.022173,0.014876,0.021505,0.016731,0.014829
"2010-07-07",-0.005061,-0.001629,-0.002632,0.001266,-0.003653
"2010-07-08",0.00218,0.008157,0.023747,0.003793,0.008249
"2010-07-09",0.031907,0.027508,0.015464,0.018892,0.038182
"2010-07-12",0.014055,0.014173,0,0.007417,0.036778
"2010-07-13",-0.018018,-0.007764,-0.020305,-0.019632,-0.043074
"2010-07-14",0.016937,0.00626,0.012953,0.01627,-0.001765
"2010-07-15",-0.021513,-0.006843,-0.023018,-0.020936,-0.007073
"2010-07-16",0.003546,-0.003788,-0.002618,-0.012579,0.002671
"2010-07-19",0.026855,0.015209,0.020997,0.030573,0.029307
"2010-07-20",0.008259,0.013109,0.020566,0.035847,0.029336
"2010-07-21",0,-0.005545,0.025189,0.004773,-0.00922
"2010-07-22",0.010239,0.007435,0.002457,0.005938,0.044839
"2010-07-23",0.008108,0.012915,-0.007353,0.001181,0.002429
"2010-07-26",-0.002011,0,0.002469,0.011792,0.008078
"2010-07-27",-0.018805,-0.010929,0,-0.004662,-0.000801
"2010-07-28",0.031485,0.020258,0.019704,0.025761,0.042502
"2010-07-29",0.000664,0.00722,0.007246,0.011416,0.01
"2010-07-30",-0.006631,0.001792,-0.009592,0.004515,0.001523
"2010-08-02",0.021362,0.014311,0.009685,0.001124,0.025095
"2010-08-03",-0.02549,-0.021164,-0.016787,-0.021324,-0.013353
"2010-08-04",-0.008048,-0.001802,-0.004878,-0.002294,-0.015789
"2010-08-05",-0.017579,-0.021661,-0.009804,-0.016092,-0.045073
"2010-08-06",0.011012,0.012915,0.017327,0.011682,0.0128
"2010-08-09",-0.006127,0,0.002433,-0.004619,-0.003949
"2010-08-10",-0.036301,-0.018215,-0.026699,-0.038283,-0.026963
"2010-08-11",0.003554,0.012987,0.002494,-0.001206,0.025265
"2010-08-12",-0.016289,-0.001832,-0.017413,-0.012077,-0.00159
"2010-08-13",0.007199,0,0.010127,0.01467,0.023885
"2010-08-16",0.022159,0.020183,0.070175,0.025301,0.008554
"2010-08-17",0.007692,0.001799,-0.007026,-0.005875,0.024672
"2010-08-18",-0.007634,0.001795,-0.016509,-0.007092,-0.009782
"2010-08-19",0.01049,0.012545,0.004796,0.039286,-0.022036
"2010-08-20",-0.017993,-0.015929,-0.004773,-0.0252,-0.028749
"2010-08-23",0.010571,-0.001799,-0.007194,-0.008226,-0.0152
